Harvestarea,UAF ID,Date,Season,Julianday,HistoricalPSP,Depth,Latitude,Longitude,Cysts
Middle Gravina Island,19MGI21,1/12/19,Winter,2019012,High,,53.304654,-131.866614,48
Middle Gravina Island,19MGI22,2/23/19,Winter,2019054,High,,53.304654,-131.866614,92
Middle Gravina Island,19MGI23/24y,3/19/19,Winter,2019078,High,,53.304654,-131.866614,77
Middle Gravina Island,19MGI23/24x,3/19/19,Winter,2019078,High,,53.304654,-131.866614,87
Northwest Dall Island,18NWD01,6/9/18,Spring,2018160,Medium,71.6,55.22455,-133.25035,0
Northwest Dall Island,18NWD02,6/9/18,Spring,2018160,Medium,66.3,55.225767,-133.250517,0
Northwest Dall Island,18NWD03,6/9/18,Spring,2018160,Medium,75.7,55.228367,-133.249,0
Palisades Island,18PAL10,10/20/18,Fall,2018293,Medium,,55.587583,-133.3091,7
Palisades Island,19PIS11,1/20/19,Winter,2019020,Medium,,55.55745,-133.6884,23
Palisades Island,18PIS01,6/30/18,Summer,2018181,Medium,43.9,55.570983,-133.29055,1
Palisades Island,18PIS03,6/30/18,Summer,2018181,Medium,41.4,55.5873,-133.309183,8
Palisades Island,18PIS02,6/30/18,Summer,2018181,Medium,42.8,55.583983,-133.29665,12
Percy Islands,18PER03,9/11/18,Summer,2018254,High,43,54.967933,-131.5905,440
Percy Islands,18PER04,9/11/18,Summer,2018254,High,54.4,54.968017,-131.590333,618
Percy Islands,18PER05,9/11/18,Summer,2018254,High,54,54.9681,-131.590333,718
Percy Islands,18PER07,9/11/18,Summer,2018254,High,59.6,54.940417,-131.569167,3788
Percy Islands,18PER08,9/11/18,Summer,2018254,High,59.2,54.940333,-131.56915,5045
Percy Islands,18PER06,9/11/18,Summer,2018254,High,60.1,54.940367,-131.568967,7773
Port Alice Cone Bay,19PAL07,3/9/19,Winter,2019068,High,,55.826817,-133.61625,6
Port Alice Cone Bay,18PAL01,7/14/18,Summer,2018195,High,40.5,55.83895,-133.56755,18
Port Alice Cone Bay,18PAL02,7/14/18,Summer,2018195,High,39,55.838133,-133.57785,26
Port Alice Cone Bay,18PAL03,7/14/18,Summer,2018195,High,54.5,55.83615,-133.589033,31
Portillo Channel,18PCH01,2/3/18,Winter,2018034,Medium,70.2,55.479341,-133.418052,7
Portillo Channel,18PCH02,8/22/18,Summer,2018234,Medium,48.2,55.4501,-133.40395,22
Portillo Channel,18PCH04,8/22/18,Summer,2018234,Medium,48.1,55.45285,-133.406483,22
Portillo Channel,18PCH03,8/22/18,Summer,2018234,Medium,54.1,55.451217,-133.406533,25
Portillo Channel,18PCH06,8/24/18,Summer,2018236,Medium,59.5,55.479617,-133.426417,17
Portillo Channel,18PCH05,8/24/18,Summer,2018236,Medium,55.3,55.478233,-133.426567,25
Portillo Channel,18PCH07,8/24/18,Summer,2018236,Medium,59.7,55.481,-133.4269,32
Portillo Channel,18PCH09,8/24/18,Summer,2018236,Medium,53.7,55.509283,-133.43035,37
Portillo Channel,18PCH08,8/24/18,Summer,2018236,Medium,71.4,55.507167,-133.43205,50
Portillo Channel,18PCH10,8/24/18,Summer,2018236,Medium,49.8,55.509667,-133.431883,75
Southern Gravina,18SGI03,9/10/18,Summer,2018253,High,70.2,56.3815,-131.7706,268
Southern Gravina,18SGI02,9/10/18,Summer,2018253,High,62.8,56.381333,-131.770467,378
Southern Gravina,18SGI06,9/10/18,Summer,2018253,High,71.6,56.424833,-131.7805,645
Southern Gravina,18SGI05,9/10/18,Summer,2018253,High,65.3,56.4205,-131.780517,955
Southern Gravina,18SGI01,9/10/18,Summer,2018253,High,85,55.139183,-131.769367,1058
Southern Gravina,18SGI04,9/10/18,Summer,2018253,High,63,56.423333,-131.7805,1295
St. Nicholas Channel,18SNC01,6/23/18,Spring,2018174,Medium,57.9,55.505967,-133.584133,3
St. Nicholas Channel,18SNC02,6/23/18,Spring,2018174,Medium,55.2,55.531067,-133.52665,3
St. Nicholas Channel,18SNC03,6/23/18,Spring,2018174,Medium,62.8,55.528067,-133.535117,12
St. Nicholas Channel,18SNC04,8/22/18,Summer,2018234,Medium,56.9,55.530967,-133.586767,32
St. Nicholas Channel,18SNC06,8/22/18,Summer,2018234,Medium,57.1,55.53275,-133.585617,32
St. Nicholas Channel,18SNC05,8/22/18,Summer,2018234,Medium,48.1,55.531883,-133.5863,62
St. Nicholas Channel,18SNC13,10/20/18,Fall,2018293,Medium,,55.562317,-133.438567,28
Taigud,18TAI02,6/2/18,Spring,2018153,Low,41,56.843983,-135.38965,1
Taigud,18TAI03,6/2/18,Spring,2018153,Low,26.5,56.912867,-135.3985,1
Taigud,18TAI01,6/2/18,Spring,2018153,Low,37.7,56.837917,-135.4142,3
Taigud,18TAI04,9/3/18,Summer,2018246,Low,35,56.84398,-135.3904,2
Tlevak Strait,18TST03,8/23/18,Summer,2018235,Low,71,55.218667,-133.103783,7
Tlevak Strait,18TST01,8/23/18,Summer,2018235,Low,63.3,55.215933,-133.1067,10
Tlevak Strait,18TST02,8/23/18,Summer,2018235,Low,67.2,55.217367,-133.10495,10
Ulitka Bay,18UBA02,7/14/18,Summer,2018195,Medium,75,55.557717,-133.689383,6
Ulitka Bay,18UBA01,7/14/18,Summer,2018195,Medium,59.5,55.557783,-133.72055,10
Ulitka Bay,18UBA03,7/14/18,Summer,2018195,Medium,62,55.557183,-140.355517,16
Ulitka Bay,18UBA05,8/20/18,Summer,2018232,Medium,50.9,55.555583,-133.720467,5
Ulitka Bay,18UBA06,8/20/18,Summer,2018232,Medium,54.8,55.556917,-133.722083,22
Ulitka Bay,18UBA04,8/20/18,Summer,2018232,Medium,54.9,55.556433,-133.721583,35
Ulitka Bay,18UBA07,11/10/18,Fall,2018314,Medium,,55.557267,-133.686483,8
Ulitka Bay,19UBA08,1/20/19,Winter,2019020,Medium,,55.574883,-133.367083,5
Ulitka Bay,19UBA09,2/17/19,Winter,2019048,Medium,,55.556867,-133.685533,1
Vallenar Bay,18VBA01,1/13/18,Winter,2018013,High,30,55.417217,-131.853367,13
Vallenar Bay,18VBA02,1/27/18,Winter,2018027,High,27,55.38206,-131.88147,13
Vallenar Bay,18VBA03,2/10/18,Winter,2018041,High,70,55.405115,-131.852545,18
Vallenar Bay,18VBA04,2/18/18,Winter,2018049,High,60,55.405002,-131.852272,12
Vallenar Bay,18VBA05,9/7/18,Summer,2018250,High,51.8,55.383433,-131.83775,163
Vallenar Bay,18VBA06,9/7/18,Summer,2018250,High,55.1,55.383283,-131.837833,175
Vallenar Bay,18VBA07,9/7/18,Summer,2018250,High,50.4,55.383567,-131.8377,175
Warren Island Kosciusko,19WIK04,3/9/19,Winter,2019068,Medium,,55.896483,-133.842017,2
Warren Island Kosciusko,18WIK02,7/14/18,Summer,2018195,Medium,51.8,55.8965,-133.841217,1
Warren Island Kosciusko,18WIK03,7/14/18,Summer,2018195,Medium,54.5,55.892067,-133.83895,3
Warren Island Kosciusko,18WIK01,7/14/18,Summer,2018195,Medium,46.8,55.89815,-133.841867,6
